condo_name,district,condo_age
1 CANBERRA,27,3
1 DRAYCOTT PARK,10,NA
1 KING ALBERT PARK,21,21
1 MOULMEIN RISE,11,15
1 NASSIM,10,NA
10 SHELFORD,11,4
10 STOREY APARTMENTS,11,NA
11 AMBER ROAD,15,13
11 BALMORAL,10,26
111 EMERALD HILL,09,7
134 WATTEN ESTATE ROAD,11,39
15 NEWTON,11,8
16 @ AMBER,15,5
18 SHELFORD,11,7
18 WOODSVILLE,13,3
1919,09,3
21 RICHARDS,19,4
26 NEWTON,11,2
28 IMPERIAL RESIDENCES,14,2
28 RC SUITES,08,1
28 SHELFORD,11,24
283 STUDIO,09,5
2RVG,09,12
3 @ PHILLIPS,19,11
3 @ SANDILANDS,19,7
3 CUSCADEN WALK,10,NA
3 KELANTAN LANE,08,NA
3 ST MARTIN'S DRIVE,10,NA
30 ST THOMAS WALK,09,NA
31 BALMORAL ROAD,10,NA
32 PENHAS ROAD,08,NA
368 THOMSON,11,4
38 AMBER,15,10
38 DRAYCOTT DRIVE,10,16
38 I SUITES,15,4
38 STEVENS ROAD,10,27
3BHC,20,11
448 @ EAST COAST,15,4
57 @ KOVAN,19,5
6 DERBYSHIRE,11,1
7 CHANCERY HILL WALK,11,13
7 CLAYMORE,10,25
7 DRAYCOTT DRIVE,10,18
7 ON CHAPEL,15,4
72 GRANGE ROAD,10,23
76 SHENTON,02,4
8 @ MOUNT SOPHIA,09,11
8 @ STRATTON,28,9
8 @ WOODLEIGH,13,6
8 BASSEIN,11,3
8 CARLISLE ROAD,08,NA
8 EDEN GROVE,19,18
8 FARRER SUITES,08,3
8 LINCOLN ROAD,11,NA
8 NAPIER,10,8
8 ON CLAYMORE SERVICED RESIDENCES,09,NA
8 ORANGE GROVE,10,29
8 RAJA,12,5
8 RODYK,09,7
80 MEYER ROAD,15,7
833 M B RESIDENCES,15,7
8M RESIDENCES,15,1
9 HOLLAND HILL,10,21
9 NASSIM ROAD,10,15
90 HOLLAND ROAD,10,23
91 MARSHALL,15,2
94 RESIDENCES,08,NA
