"","name","type","rent","date"
"1","ICON BUILDING","NA","1.13","18"
"2","PUNGGOL ACADIA","NA","5.33","18"
"3","HDB FOR RENT 2MIN TO LAKESIDE MRT ","NA","1.95","18"
"4","V ON SHENTON","Condo","6.8","18"
"5","PANDAN VALLY CONDO LARGE UNIT","Condo","2.23","18"
"6","PARC OASIS","Condo","2.85","18"
"7","CRADELS","Condo","4.54","18"
"8","HDB","NA","2.34","18"
"9","SENGKANG","NA","0.83","18"
"10","BLOSSOM SPRING @ YISHUN","NA","1.8","18"
"11","ONAN SUITES","Condo","3.33","18"
"12","MIDTOWN RESIDENCES","Condo","3.43","18"
"13","FONTAINE PARRY","Condo","2.91","18"
"14","FULLY FURNISH BISHAN 4A SEGMENTED","NA","2.04","18"
"15","DELFI ORCHARD","Condo","2.86","18"
"16","CORONATION SHOPPING PLAZA RESIDENCE","NA","2.44","18"
"17","MOE KINDERGARTEN @ TAMPINES","NA","2.23","18"
"18","3I HDB AT TANJONG PAGAR PLAZA","NA","3.93","18"
"19","QUIET TROPICAL GARDEN SUITE","NA","8.85","18"
"20","HDB","NA","27.64","18"
"21","THE TENNERY","Condo","3.58","18"
"22","THE CLIFT BUILDING","NA","1.03","18"
"23","SKYSUITES@ANSON","Condo","7.65","18"
"24","SEA ESTA","Condo","3.66","18"
"25","HDB @ BUKIT BATOK","NA","2.21","18"
"26","SUNRISE VILLA, SUNRISE CLOSE ","NA","1.43","18"
"27","RIVERBANK@FERNVALE","Condo","6.2","18"
"28","MEILING HEIGHTS","NA","3.14","18"
"29","ARDMORE PARK","Condo","4.51","18"
"30","8 @ MOUNT SOPHIA","Condo","4.47","18"
"31","THE TENNERY","Condo","3.58","18"
"32","THE CLIFT BUILDING","NA","1.03","18"
"33","SKYSUITES@ANSON","Condo","7.65","18"
"34","SEA ESTA","Condo","3.66","18"
"35","HDB @ BUKIT BATOK","NA","2.21","18"
"36","SUNRISE VILLA, SUNRISE CLOSE ","NA","1.43","18"
"37","RIVERBANK@FERNVALE","Condo","6.2","18"
"38","MEILING HEIGHTS","NA","3.14","18"
"39","ARDMORE PARK","Condo","4.51","18"
"40","8 @ MOUNT SOPHIA","Condo","4.47","18"
"41","SYMPHONY SUITES (YISHUN)","Condo","3.13","18"
"42","HILLCREST VILLA (DISTRICT11)","NA","2.74","18"
"43","THE VISION","Condo","3.5","18"
"44","MASTER ROOM ON ORCHARD ROAD","NA","14.44","18"
"45","WHOLE 2BR APARTMENT ON ORCHARD ROAD","NA","6.25","18"
"46","TRELLIS TOWER","Condo","3.04","18"
"47"," AMK 3 ROOMS HDB FLAT FOR RENT ","NA","29.85","18"
"48","HDB @ HOUGANG","NA","1.99","18"
