name,type,rent,date
ICON BUILDING,NA,1.13,18
PUNGGOL ACADIA,NA,5.33,18
HDB FOR RENT 2MIN TO LAKESIDE MRT,NA,1.95,18
V ON SHENTON,Condo,6.8,18
PANDAN VALLY CONDO LARGE UNIT,Condo,2.23,18
PARC OASIS,Condo,2.85,18
CRADELS,Condo,4.54,18
HDB,NA,2.34,18
SENGKANG,NA,0.83,18
BLOSSOM SPRING @ YISHUN,NA,1.8,18
ONAN SUITES,Condo,3.33,18
MIDTOWN RESIDENCES,Condo,3.43,18
FONTAINE PARRY,Condo,2.91,18
FULLY FURNISH BISHAN 4A SEGMENTED,NA,2.04,18
DELFI ORCHARD,Condo,2.86,18
CORONATION SHOPPING PLAZA RESIDENCE,NA,2.44,18
MOE KINDERGARTEN @ TAMPINES,NA,2.23,18
3I HDB AT TANJONG PAGAR PLAZA,NA,3.93,18
QUIET TROPICAL GARDEN SUITE,NA,8.85,18
HDB,NA,27.64,18
THE TENNERY,Condo,3.58,18
THE CLIFT BUILDING,NA,1.03,18
SKYSUITES@ANSON,Condo,7.65,18
SEA ESTA,Condo,3.66,18
HDB @ BUKIT BATOK,NA,2.21,18
"SUNRISE VILLA, SUNRISE CLOSE ",NA,1.43,18
RIVERBANK@FERNVALE,Condo,6.2,18
MEILING HEIGHTS,NA,3.14,18
ARDMORE PARK,Condo,4.51,18
8 @ MOUNT SOPHIA,Condo,4.47,18
THE TENNERY,Condo,3.58,18
THE CLIFT BUILDING,NA,1.03,18
SKYSUITES@ANSON,Condo,7.65,18
SEA ESTA,Condo,3.66,18
HDB @ BUKIT BATOK,NA,2.21,18
"SUNRISE VILLA, SUNRISE CLOSE ",NA,1.43,18
RIVERBANK@FERNVALE,Condo,6.2,18
MEILING HEIGHTS,NA,3.14,18
ARDMORE PARK,Condo,4.51,18
8 @ MOUNT SOPHIA,Condo,4.47,18
SYMPHONY SUITES (YISHUN),Condo,3.13,18
HILLCREST VILLA (DISTRICT11),NA,2.74,18
THE VISION,Condo,3.5,18
MASTER ROOM ON ORCHARD ROAD,NA,14.44,18
WHOLE 2BR APARTMENT ON ORCHARD ROAD,NA,6.25,18
TRELLIS TOWER,Condo,3.04,18
AMK 3 ROOMS HDB FLAT FOR RENT,NA,29.85,18
HDB @ HOUGANG,NA,1.99,18
HDB @ JURONG EAST,NA,2,18
18B HOLLAND DRIVE,NA,3.21,18
THE CLIFT,Condo,6.64,18
SILVERSEA,Condo,3.2,18
THE BAYSHORE,Condo,3.55,18
THE SCOTTS TOWER,Condo,5.46,18
SEAHILL,Condo,2.73,18
HILLCREST VILLA,NA,2.92,18
HORIZON RESIDENCES,Condo,3.69,18
THE CLUB RESIDENCES,NA,7.13,18
THE CLUB RESIDENCES,NA,10.64,18
ALTEZ,Condo,6.03,18
THE CLIFT,Condo,6.64,18
SILVERSEA,Condo,3.2,18
THE BAYSHORE,Condo,3.55,18
THE SCOTTS TOWER,Condo,5.46,18
SEAHILL,Condo,2.73,18
HILLCREST VILLA,NA,2.92,18
HORIZON RESIDENCES,Condo,3.69,18
THE CLUB RESIDENCES,NA,7.13,18
THE CLUB RESIDENCES,NA,10.64,18
ALTEZ,Condo,6.03,18
PARKWAY VIEW,Condo,2.1,18
HDB @ HOUGANG,NA,1.86,18
TREASURE MANSIONS,NA,3.03,18
KALLANG RIVERSIDE,Condo,4.7,18
7 CLAYMORE,Condo,4,18
ARDMORE RESIDENCE,Condo,5.96,18
QUEENS,Condo,3.58,18
HANA,Condo,7.08,18
CASA MEYA,Condo,3.53,18
SPOTTISWOODE RESIDENCES,Condo,5.18,18
DUO RESIDENCES,Condo,6.25,18
SPOTTISWOODE SUITES,Condo,6.71,18
OUE TWIN PEAKS,Condo,6.38,18
THE MARBELLA,Condo,3.73,18
16 @ AMBER,Condo,5.12,18
UE SQUARE,NA,9.29,18
4 LOYANG LANE,NA,1.1,18
30 LOYANG WAY,NA,1.5,18
155 KALLANG WAY,NA,1.75,18
8 LORONG BAKAR BATU,NA,1.75,18
DUO RESIDENCES,Condo,6.25,18
SPOTTISWOODE SUITES,Condo,6.71,18
OUE TWIN PEAKS,Condo,6.38,18
THE MARBELLA,Condo,3.73,18
16 @ AMBER,Condo,5.12,18
UE SQUARE,NA,9.29,18
4 LOYANG LANE,NA,1.1,18
30 LOYANG WAY,NA,1.5,18
155 KALLANG WAY,NA,1.75,18
8 LORONG BAKAR BATU,NA,1.75,18
3014A UBI ROAD 1,NA,2.1,18
KA FOODLINK,NA,3.2,18
25 KALLANG AVENUE,NA,1.9,18
21 KALLANG AVENUE,NA,1.9,18
30 KALLANG PLACE,NA,1.9,18
16 KALLANG PLACE,NA,1.9,18
11 KALLANG PLACE,NA,1.9,18
SPOTTISWOODE SUITES,Condo,5.5,18
8@MT SOPHIA,Condo,3.88,18
CAIRNHILL NINE,Condo,6.57,18
BINA PARK,NA,0.36,18
JOO CHIAT COMPLEX,NA,5.91,18
SULTAN PLAZA,NA,5.91,18
MARTINPLACE RESIDENCES,Condo,5.57,18
TEMPCO TECHNOMINIUM,NA,3.2,18
STARLIGHT SUITES,Condo,4.94,18
SUITES @ TOPAZ,Condo,2.43,18
THE LAURELS,Condo,6.38,18
ORCHARD COURT,NA,2.41,18
WINDY HEIGHT,Condo,2.45,18
BINA PARK,NA,0.36,18
JOO CHIAT COMPLEX,NA,5.91,18
SULTAN PLAZA,NA,5.91,18
