condo_name,district,top_year,km_mrt,x_coord,y_coord,median_rent,refPeriod,region,ref_year,condo_age
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.05,2015Q2,CCR,2015,18
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.19,2015Q3,CCR,2015,18
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.13,2015Q1,CCR,2015,18
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.01,2016Q1,CCR,2016,19
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.79,2017Q3,CCR,2017,20
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.05,2016Q3,CCR,2016,19
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.81,2017Q4,CCR,2017,20
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.19,2015Q4,CCR,2015,18
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.81,2017Q1,CCR,2017,20
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,4.07,2016Q2,CCR,2016,19
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.77,2016Q4,CCR,2016,19
EMERALD GARDEN,01,1998,0.26 - TELOK AYER,29476.903224899997,29306.37018201,3.8,2017Q2,CCR,2017,20
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,6.02,2015Q3,CCR,2015,6
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,6.16,2015Q1,CCR,2015,6
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,6.05,2015Q2,CCR,2015,6
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.91,2017Q2,CCR,2017,8
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.91,2016Q1,CCR,2016,7
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.84,2016Q4,CCR,2016,7
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.67,2017Q1,CCR,2017,8
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.66,2017Q4,CCR,2017,8
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.63,2016Q3,CCR,2016,7
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.52,2017Q3,CCR,2017,8
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.92,2016Q2,CCR,2016,7
MARINA BAY RESIDENCES,01,2010,0.26 - DOWNTOWN,30414.93400388,29129.9799135,5.86,2015Q4,CCR,2015,6
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.61,2015Q3,CCR,2015,3
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.72,2015Q2,CCR,2015,3
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.27,2017Q2,CCR,2017,5
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.29,2016Q1,CCR,2016,4
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.37,2016Q4,CCR,2016,4
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.07,2017Q1,CCR,2017,5
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.48,2017Q4,CCR,2017,5
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.27,2016Q3,CCR,2016,4
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.21,2017Q3,CCR,2017,5
MARINA BAY SUITES,01,2013,0.12 - DOWNTOWN,30092.0131215,29204.925556650003,4.29,2016Q2,CCR,2016,4
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.69,2015Q2,CCR,2015,8
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.81,2015Q1,CCR,2015,8
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.25,2017Q2,CCR,2017,10
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.7,2016Q1,CCR,2016,9
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.33,2016Q4,CCR,2016,9
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.57,2015Q3,CCR,2015,8
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.34,2016Q3,CCR,2016,9
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.57,2016Q2,CCR,2016,9
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.24,2017Q1,CCR,2017,10
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.6,2015Q4,CCR,2015,8
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,4.92,2017Q4,CCR,2017,10
THE SAIL @ MARINA BAY,01,2008,0.2 - DOWNTOWN,30135.167,29248.4739,5.14,2017Q3,CCR,2017,10
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.61,2015Q2,CCR,2015,2
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.24,2015Q1,CCR,2015,2
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.91,2015Q3,CCR,2015,2
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.41,2017Q2,CCR,2017,4
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.43,2017Q3,CCR,2017,4
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.74,2016Q2,CCR,2016,3
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.29,2016Q3,CCR,2016,3
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.83,2017Q4,CCR,2017,4
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.57,2016Q1,CCR,2016,3
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.29,2017Q1,CCR,2017,4
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.51,2016Q4,CCR,2016,3
76 SHENTON,02,2014,0.34 - TANJONG PAGAR,29357.66126552,28446.35265466,5.92,2015Q4,CCR,2015,2
ALTEZ,02,2014,0.28 - TANJONG PAGAR,29233.36162634,28553.809441800004,6.62,2015Q2,CCR,2015,2
