condo_name,top_year,km_mrt
1 CANBERRA,2015,
1 KING ALBERT PARK,1997,0.4 - KING ALBERT PARK
1 MOULMEIN RISE,2003,0.31 - NOVENA
10 SHELFORD,2014,
11 AMBER ROAD,2005,1.51 - DAKOTA
11 BALMORAL,1992,
111 EMERALD HILL,2011,
134 WATTEN ESTATE ROAD,1979,0.81 - TAN KAH KEE
15 NEWTON,2010,
16 @ AMBER,2013,
18 SHELFORD,2011,
18 WOODSVILLE,2015,
1919,2015,
21 RICHARDS,2014,
26 NEWTON,2016,
28 IMPERIAL RESIDENCES,2016,
28 RC SUITES,2017,
28 SHELFORD,1994,0.58 - TAN KAH KEE
283 STUDIO,2013,
2RVG,2006,0.58 - SOMERSET
3 @ PHILLIPS,2007,
3 @ SANDILANDS,2011,
368 THOMSON,2014,0.91 - NOVENA
38 AMBER,2008,
38 DRAYCOTT DRIVE,2002,0.65 - ORCHARD
38 I SUITES,2014,0.8 - PAYA LEBAR
38 STEVENS ROAD,1991,0.64 - STEVENS
3BHC,2007,
448 @ EAST COAST,2014,
57 @ KOVAN,2013,
6 DERBYSHIRE,2017,
7 CHANCERY HILL WALK,2005,
7 CLAYMORE,1993,0.57 - ORCHARD
7 DRAYCOTT DRIVE,2000,0.58 - ORCHARD
7 ON CHAPEL,2014,
72 GRANGE ROAD,1995,
76 SHENTON,2014,0.34 - TANJONG PAGAR
8 @ MOUNT SOPHIA,2007,0.29 - DHOBY GHAUT
8 @ STRATTON,2009,
8 @ WOODLEIGH,2012,
8 BASSEIN,2015,
8 EDEN GROVE,2000,
8 FARRER SUITES,2015,
8 NAPIER,2010,
8 ORANGE GROVE,1989,
8 RAJA,2013,
8 RODYK,2011,
80 MEYER ROAD,2011,
833 M B RESIDENCES,2011,
8M RESIDENCES,2017,
9 HOLLAND HILL,1997,
9 NASSIM ROAD,2003,0.83 - ORCHARD
90 HOLLAND ROAD,1995,0.76 - HOLLAND VILLAGE
91 MARSHALL,2016,
A TREASURE TROVE,2015,
AALTO,2010,1.45 - DAKOTA
ADAM GREEN,2013,
ADAM PARK CONDO,2004,0.63 - TAN KAH KEE
ADAM PLACE,1992,0.38 - BOTANIC GARDENS
ADANA @ THOMSON,2018,
ADRIA,2013,0.42 - NOVENA
AIRSTREAM,2013,
ALANA,2017,
ALBA,2015,
ALEGRIA BOUTIQUE APARTMENTS,2005,0.63 - NOVENA
ALESSANDREA,2004,0.64 - REDHILL
ALEX RESIDENCES,2019,
ALEXIS,2012,0.41 - QUEENSTOWN
ALIAS VILLAS,2017,
ALLSWORTH PARK,1985,0.95 - DOVER
ALPHA APARTMENTS,2005,
ALTEZ,2014,0.28 - TANJONG PAGAR
ALWYN PARK,1992,
AMANINDA,2005,0.65 - NOVENA
AMARANDA GARDEN,2004,0.46 - LORONG CHUAN
AMARYLLIS VILLE,2004,0.5 - NEWTON
AMBER GLADES,1990,
AMBER PARK,1986,1.44 - DAKOTA
AMBER POINT,1990,1.49 - DAKOTA
AMBER RESIDENCES,2011,
AMBER SKYE,2017,
AMPAS APARTMENTS,1990,
ANDERSON GREEN,2000,0.86 - STEVENS
APLETON VIEW,2005,0.22 - NOVENA
AQUARINE GARDENS,2004,
AQUARIUS BY THE PARK,2002,0.35 - BEDOK RESERVOIR
AQUENE @ TELOK KURAU,2008,
ARC AT TAMPINES,2015,
ARCHIPELAGO,2016,
ARDISIA GARDENS,1997,
ARDMORE 3,2015,
ARDMORE II,2010,0.73 - ORCHARD
ARDMORE PARK,2001,0.71 - ORCHARD
ARDMORE RESIDENCE,2013,
ARTHUR 118,2005,0.97 - MOUNTBATTEN
ARTHUR MANSIONS,1993,0.92 - MOUNTBATTEN
ASCENT @ 456,2017,
ASCENTIA SKY,2013,0.15 - REDHILL
ASHLEY GREEN,1996,
ASIA GARDENS,1985,
ASIMONT @ BARKER,1986,
