condo_name,x_coord,y_coord,district,median,refPeriod
MERAWOODS,19821.989334660001,37573.471111829997,23,2.17,2015Q2
MERAWOODS,19821.989334660001,37573.471111829997,23,1.9,2017Q4
MERAWOODS,19821.989334660001,37573.471111829997,23,2.03,2016Q2
MERAWOODS,19821.989334660001,37573.471111829997,23,1.93,2015Q4
ELLIOT AT THE EAST COAST,38867.704029029998,32638.6554629,15,2.78,2015Q2
ELLIOT AT THE EAST COAST,38867.704029029998,32638.6554629,15,2.97,2015Q3
ELLIOT AT THE EAST COAST,38867.704029029998,32638.6554629,15,3.17,2016Q1
ELLIOT AT THE EAST COAST,38867.704029029998,32638.6554629,15,2.79,2016Q2
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.06,2015Q2
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.08,2015Q3
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.13,2016Q2
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.04,2016Q4
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.04,2017Q1
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.16,2016Q3
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.05,2017Q4
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.11,2017Q2
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.25,2016Q1
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.02,2017Q3
THE DAIRY FARM,20961.911307440001,38617.811598839999,23,2.04,2015Q4
ZEDGE,29648.311772029999,33840.363590360001,11,4.8,2015Q1
ZEDGE,29648.311772029999,33840.363590360001,11,4.34,2015Q2
ZEDGE,29648.311772029999,33840.363590360001,11,3.85,2015Q3
ZEDGE,29648.311772029999,33840.363590360001,11,3.45,2016Q1
ZEDGE,29648.311772029999,33840.363590360001,11,3.92,2016Q2
ZEDGE,29648.311772029999,33840.363590360001,11,3.19,2017Q4
ZEDGE,29648.311772029999,33840.363590360001,11,3.2,2016Q4
ZEDGE,29648.311772029999,33840.363590360001,11,3.64,2016Q3
ZEDGE,29648.311772029999,33840.363590360001,11,3.51,2017Q3
ZEDGE,29648.311772029999,33840.363590360001,11,3.23,2017Q2
ZEDGE,29648.311772029999,33840.363590360001,11,3.61,2017Q1
THE PANORAMA,28056.149,39713.2756,20,3.95,2017Q4
THE GALE,42864.596315870001,37911.050326069997,17,2.56,2015Q2
THE GALE,42864.596315870001,37911.050326069997,17,2.67,2015Q1
THE GALE,42864.596315870001,37911.050326069997,17,2.53,2015Q3
THE GALE,42864.596315870001,37911.050326069997,17,2.33,2016Q4
THE GALE,42864.596315870001,37911.050326069997,17,2.3,2017Q1
THE GALE,42864.596315870001,37911.050326069997,17,2.3,2016Q3
THE GALE,42864.596315870001,37911.050326069997,17,2.23,2017Q2
THE GALE,42864.596315870001,37911.050326069997,17,2.25,2016Q1
THE GALE,42864.596315870001,37911.050326069997,17,2.24,2017Q3
THE GALE,42864.596315870001,37911.050326069997,17,2.46,2015Q4
THE GALE,42864.596315870001,37911.050326069997,17,2.19,2016Q2
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.6,2015Q2
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,4.98,2015Q1
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.39,2015Q3
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.16,2016Q4
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.15,2017Q2
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.04,2017Q3
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.35,2016Q2
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.34,2016Q3
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,4.88,2017Q4
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.08,2016Q1
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,4.65,2017Q1
8 @ MOUNT SOPHIA,29397.203786180002,31537.083591770001,09,5.21,2015Q4
DAHLIA PARK CONDOMINIUM,42680.235278289997,37849.577770770003,17,2.23,2015Q3
DAHLIA PARK CONDOMINIUM,42680.235278289997,37849.577770770003,17,1.99,2017Q2
DAHLIA PARK CONDOMINIUM,42680.235278289997,37849.577770770003,17,2.13,2015Q4
DAHLIA PARK CONDOMINIUM,42680.235278289997,37849.577770770003,17,1.99,2017Q1
DAHLIA PARK CONDOMINIUM,42680.235278289997,37849.577770770003,17,1.95,2017Q3
DAHLIA PARK CONDOMINIUM,42680.235278289997,37849.577770770003,17,1.98,2017Q4
THE LIGHT @ CAIRNHILL,28503.987621029998,32050.338376820002,09,4.63,2015Q2
THE LIGHT @ CAIRNHILL,28503.987621029998,32050.338376820002,09,4.35,2015Q3
THE LIGHT @ CAIRNHILL,28503.987621029998,32050.338376820002,09,4.18,2017Q4
THE LIGHT @ CAIRNHILL,28503.987621029998,32050.338376820002,09,4.42,2016Q2
THE LIGHT @ CAIRNHILL,28503.987621029998,32050.338376820002,09,4.24,2017Q3
THE RIVERWALK,29671.796120439999,30147.634888370001,01,4.02,2015Q2
THE RIVERWALK,29671.796120439999,30147.634888370001,01,4.51,2015Q1
THE RIVERWALK,29671.796120439999,30147.634888370001,01,3.72,2017Q2
THE RIVERWALK,29671.796120439999,30147.634888370001,01,3.81,2016Q4
THE RIVERWALK,29671.796120439999,30147.634888370001,01,4.16,2015Q3
THE RIVERWALK,29671.796120439999,30147.634888370001,01,4.06,2016Q3
THE RIVERWALK,29671.796120439999,30147.634888370001,01,4.18,2016Q2
THE RIVERWALK,29671.796120439999,30147.634888370001,01,3.72,2017Q1
THE RIVERWALK,29671.796120439999,30147.634888370001,01,4.03,2015Q4
THE RIVERWALK,29671.796120439999,30147.634888370001,01,4.02,2017Q4
THE RIVERWALK,29671.796120439999,30147.634888370001,01,3.65,2017Q3
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.27,2015Q1
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.23,2015Q2
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.23,2015Q3
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.15,2017Q2
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.1,2016Q4
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.01,2017Q1
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.04,2017Q4
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.05,2017Q3
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.21,2015Q4
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.22,2016Q1
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.13,2016Q3
SIGNATURE PARK,20709.929315550001,35894.68309393,21,2.13,2016Q2
CLIVEDEN AT GRANGE,27255.38162206,31325.358797729999,10,4.32,2015Q2
CLIVEDEN AT GRANGE,27255.38162206,31325.358797729999,10,4.62,2015Q3
CLIVEDEN AT GRANGE,27255.38162206,31325.358797729999,10,4.52,2015Q1
CLIVEDEN AT GRANGE,27255.38162206,31325.358797729999,10,4.28,2017Q2
CLIVEDEN AT GRANGE,27255.38162206,31325.358797729999,10,4.19,2017Q1
CLIVEDEN AT GRANGE,27255.38162206,31325.358797729999,10,4.44,2017Q3
CLIVEDEN AT GRANGE,27255.38162206,31325.358797729999,10,4.31,2016Q3
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,3.15,2015Q2
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,3.03,2015Q3
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,3.32,2015Q1
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,2.96,2017Q2
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,3.24,2015Q4
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,2.88,2017Q3
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,3.2,2016Q3
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,2.83,2017Q4
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,3.15,2016Q1
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,2.88,2017Q1
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,2.85,2016Q4
DOUBLE BAY RESIDENCES,41712.328280570002,35866.905222950003,18,3.2,2016Q2
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.71,2015Q2
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.61,2015Q1
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.56,2015Q3
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.44,2016Q2
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.47,2016Q4
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.37,2017Q1
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.51,2016Q3
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.38,2017Q4
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.46,2017Q2
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.55,2016Q1
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.46,2017Q3
THE COAST AT SENTOSA COVE,29244.37077272,25498.25471214,04,3.46,2015Q4
AALTO,35104.253532990003,31235.620303259999,15,3.5,2015Q2
AALTO,35104.253532990003,31235.620303259999,15,3.92,2015Q1
AALTO,35104.253532990003,31235.620303259999,15,3.6,2015Q3
AALTO,35104.253532990003,31235.620303259999,15,3.66,2016Q1
AALTO,35104.253532990003,31235.620303259999,15,3.33,2017Q2
AALTO,35104.253532990003,31235.620303259999,15,3.4,2017Q3
AALTO,35104.253532990003,31235.620303259999,15,3.6,2016Q2
AALTO,35104.253532990003,31235.620303259999,15,3.48,2016Q3
AALTO,35104.253532990003,31235.620303259999,15,3.35,2017Q1
MARINA BAY SUITES,30092.013121499999,29204.925556650002,01,4.61,2015Q3
MARINA BAY SUITES,30092.013121499999,29204.925556650002,01,4.72,2015Q2
MARINA BAY SUITES,30092.013121499999,29204.925556650002,01,4.27,2017Q2
MARINA BAY SUITES,30092.013121499999,29204.925556650002,01,4.29,2016Q1
MARINA BAY SUITES,30092.013121499999,29204.925556650002,01,4.37,2016Q4
MARINA BAY SUITES,30092.013121499999,29204.925556650002,01,4.07,2017Q1
MARINA BAY SUITES,30092.013121499999,29204.925556650002,01,4.48,2017Q4
MARINA BAY SUITES,30092.013121499999,29204.925556650002,01,4.27,2016Q3
